Dianomi ,DNM,	422.00	1,922	0.00%	422.00	422.00	2
Dotdigital ,DOTD,	173.00	332,349	0.00%	170.20	173.20	224
Dp Poland ,DPP,	6.55	281,625	0.00%	6.30	6.55	3
Drumz ,DRUM,	0.55	1,450,000	0.00%	0.55	0.55	2
Driver Grp ,DRV,	49.00	44,352	0.00%	49.00	49.50	5
Dillistone ,DSG,	21.00	0	0.00%	21.00	21.00	0
Duke Royalty ,DUKE,	41.25	1,739,131	0.61%	41.00	41.25	40
Deepverge ,DVRG,	22.50	255,031	-1.10%	23.00	23.00	37
Dewhurst A ,DWHA,	725.00	0	0.00%	725.00	725.00	0
Dewhurst ,DWHT,	1,760.00	1,656	1.15%	1,740.00	1,760.00	5
Dx Plc ,DX.,	30.00	0	0.00%	0.00	0.00	0
Diaceutics ,DXRX,	115.00	850	0.00%	115.00	115.00	2
Eenergy Group ,EAAS,	15.10	373,657	-5.63%	15.10	15.10	36
Eco Animal ,EAH,	197.50	206,486	12.86%	170.00	197.50	94
Ebiquity ,EBQ,	56.75	6,232	0.00%	56.75	56.75	5
Echo Energy ,ECHO,	0.54	1,108,523	3.45%	0.54	0.54	12
Eckoh Technologies ,ECK,	50.50	5,054,183	0.00%	50.00	50.00	12
Eco ,Atlantic, ,ECO,	28.00	2,839,502	3.70%	28.00	28.00	41
ECR Minerals ,ECR,	1.35	1,216,435	0.00%	1.35	1.35	15
Ecsc Group ,ECSC,	73.00	0	0.00%	73.00	73.00	0
Eden ,EDEN,	7.25	7,000	0.00%	7.25	7.25	1
Edenville ,EDL,	25.25	2,000	0.00%	25.25	25.25	1
Egdon Resources ,EDR,	1.625	1,395,322	6.56%	1.55	1.625	10
Empire Metals ,EEE,	1.275	784,895	0.00%	1.275	1.275	8
Ekf Diagnostics ,EKF,	73.40	284,584	-3.93%	73.40	75.00	85
Elecosoft ,ELCO,	103.50	58,087	-5.48%	103.50	110.00	17
Elixirr Int. ,ELIX,	745.00	416	0.68%	745.00	745.00	3
Everyman Media ,EMAN,	135.50	3,256	0.37%	135.00	135.50	6
Empyrean ,EME,	6.10	830,801	0.83%	6.05	6.20	21
European Metals Holdings ,EMH,	69.50	59,904	0.00%	70.00	70.00	19
Emis ,EMIS,	1,232.00	223,314	-2.38%	1,232.00	1,266.00	329
Emmerson ,EML,	6.80	3,016,588	-0.73%	6.65	6.90	40
Empresaria Group ,EMR,	82.00	123,262	0.00%	82.00	82.00	5
Ethernity Net ,ENET,	40.00	328,575	-4.76%	40.00	41.00	24
Enwell Energy ,ENW,	37.50	360,335	6.23%	36.00	41.00	50
Europa Oil&gas ,EOG,	1.40	142,570	0.00%	1.40	1.40	3
Epwin Grp ,EPWN,	108.25	37,830	1.41%	0.00	0.00	6
Equals Gp ,EQLS,	74.00	3,200,180	2.07%	74.00	74.00	134
Eqtec ,EQT,	1.27	10,433,697	1.60%	1.27	1.35	64
Ergomed ,ERGO,	1,300.00	25,194	-1.52%	1,280.00	1,320.00	138
Epe Special Opp ,ESO,	344.00	3,884	-1.15%	342.00	346.00	5
Essensys ,ESYS,	260.00	7,505	0.00%	260.00	260.00	3
E-therapeutics ,ETX,	40.90	128,986	-0.13%	40.00	40.90	17
